name,city,city_id,locality,cuisines,average_cost_for_two,currency,price_range_Rs,rating_text,votes,delivery,aggregate_rating
Mc Donald's,Agra,34,Civil Lines,"Burger, Fast Food",500,Rs.,2000,Very Good,837,Yes,4.3
GMB - Gopika Sweets & Restaurant,Agra,34,Tajganj,"Desserts, North Indian, South Indian, Chinese, Fast Food, Street Food",400,Rs.,2000,Very Good,362,Yes,4.1
The Greener Side,Agra,34,Civil Lines,"Fast Food, Wraps, Desserts, Beverages",300,Rs.,1000,Very Good,490,No,4.4
Bhagat Halwai,Agra,34,Dayal Bagh,"Mithai, Chinese, Fast Food, Street Food, South Indian, Bakery",250,Rs.,1000,Good,417,No,3.9
Pizza Hut,Agra,34,Sikandra,"Pizza, Fast Food, Italian",700,Rs.,2000,Good,376,No,3.9
Pinch Of Spice,Agra,34,Tajganj,"North Indian, Chinese, Continental",1600,Rs.,4000,Excellent,965,No,4.6
Jain Bhojnalaya,Agra,34,Sikandra,North Indian,200,Rs.,1000,Very Good,237,No,4.2
Papa Ji Da Dhaba,Agra,34,Civil Lines,North Indian,250,Rs.,1000,Very Good,402,No,4.1
Chokho Jeeman Marwari Jain Bhojanalya,Agra,34,Civil Lines,Rajasthani,400,Rs.,2000,Very Good,514,No,4.3
Pizza Hut,Agra,34,Civil Lines,"Pizza, Fast Food, Italian",700,Rs.,2000,Good,410,No,3.9
Urban Deck,Agra,34,Civil Lines,"Mexican, Italian, North Indian",1600,Rs.,4000,Very Good,672,No,4.3
Domino's Pizza,Agra,34,Agra Cantt,"Pizza, Fast Food",400,Rs.,2000,Good,433,Yes,3.6
Kiskey Whiskey,Agra,34,Civil Lines,"North Indian, Continental, Chinese",700,Rs.,2000,Excellent,406,Yes,4.5
Manoj Restaurant,Agra,34,Mantola,"South Indian, Chinese",200,Rs.,1000,Good,384,Yes,3.9
Amritsari Kulcha Junction,Agra,34,Civil Lines,North Indian,600,Rs.,2000,Very Good,381,No,4.2
Deviram Food Circle,Agra,34,Lohamandi,"Mithai, Fast Food, Street Food, North Indian",200,Rs.,1000,Very Good,266,No,4
Subway,Agra,34,Khandari,"Fast Food, Healthy Food, Sandwich, Salad",500,Rs.,2000,Very Good,322,No,4.1
Cafe Turquoise Cottage,Agra,34,Tajganj,"North Indian, Chinese, Continental, Italian, Pizza",1600,Rs.,4000,Excellent,344,Yes,4.6
Guru Kripa Yadav Dhaba,Agra,34,Civil Lines,North Indian,150,Rs.,1000,Very Good,167,No,4
Tea'se Me - Rooftop Tea Boutique,Agra,34,Tajganj,"Chinese, Italian, Continental, North Indian",1000,Rs.,3000,Excellent,711,Yes,4.7
Chimmanlal Puri Wale,Agra,34,Mantola,"North Indian, Street Food, Mithai",150,Rs.,1000,Very Good,274,No,4
The Momo Corner,Agra,34,Kamla Nagar,"Chinese, Momos, Wraps, Burger",200,Rs.,1000,Very Good,213,No,4.2
Jain Restaurant,Agra,34,Shahganj,"North Indian, South Indian",500,Rs.,2000,Very Good,341,No,4.2
Pind Balluchi,Agra,34,Tajganj,"North Indian, Mughlai",1000,Rs.,3000,Very Good,508,No,4.2
Bhadawar Hotel,Agra,34,Mantola,North Indian,200,Rs.,1000,Very Good,237,No,4.1
Mocha,Agra,34,Tajganj,"Cafe, Italian, Chinese, Continental, North Indian",1500,Rs.,4000,Very Good,463,Yes,4.4
Domino's Pizza,Agra,34,Tajganj,"Pizza, Fast Food",400,Rs.,2000,Good,336,Yes,3.8
CHHAT - Over The Top,Agra,34,Tajganj,"North Indian, Chinese, Lebanese, Continental, Mediterranean, Mexican",800,Rs.,3000,Very Good,79,Yes,4.2
Pari Family Restaurant,Agra,34,Sikandra,"North Indian, Fast Food, South Indian",400,Rs.,2000,Good,284,No,3.8
KFC,Agra,34,Tajganj,"Burger, Fast Food",450,Rs.,2000,Very Good,286,No,4
Jahanpanah,Agra,34,Agra Cantt,"North Indian, Mughlai, Rolls",850,Rs.,3000,Good,288,No,3.8
What The Food,Agra,34,Civil Lines,Fast Food,400,Rs.,2000,Good,283,No,3.9
Shree Balaji Family Restaurant,Agra,34,Sikandra,"North Indian, South Indian, Fast Food",400,Rs.,2000,Good,306,No,3.7
Chapter 1 Cafe,Agra,34,Tajganj,"Cafe, Italian, Mexican, North Indian, Continental",1000,Rs.,3000,Very Good,280,No,4.2
Sardar Ji Da Dhaba,Agra,34,Agra Cantt,North Indian,400,Rs.,2000,Very Good,225,No,4
Rohit Cakes And Bakes,Agra,34,Kamla Nagar,Bakery,350,Rs.,2000,Very Good,376,0,4
The Big Bun,Agra,34,Civil Lines,"Burger, Sandwich, Fast Food, Pizza, Rolls, Bakery",250,Rs.,1000,Very Good,225,No,4.2
Q'sinn,Agra,34,Civil Lines,North Indian,900,Rs.,3000,Very Good,138,No,4.2
The Masterchef Restaurant,Agra,34,Kamla Nagar,"Cafe, Italian, North Indian, Chinese",600,Rs.,2000,Very Good,238,No,4
Achman,Agra,34,Civil Lines,"North Indian, South Indian",700,Rs.,2000,Very Good,279,No,4.1
Peshawri - ITC Mughal,Agra,34,"ITC Mughal, Tajganj","North Indian, Mughlai",6000,Rs.,4000,Very Good,353,Yes,4.4
Fakira,Agra,34,Sikandra,"North Indian, Chinese, Continental, Fast Food",1000,Rs.,3000,Good,117,No,3.9
D'Delicia,Agra,34,Tajganj,"North Indian, Chinese, Mexican, Italian",1600,Rs.,4000,Excellent,252,No,4.7
Campus Bakers,Agra,34,Sikandra,"Fast Food, Bakery",300,Rs.,1000,Very Good,197,No,4.1
Thaaliwala,Agra,34,Tajganj,"North Indian, Fast Food",700,Rs.,2000,Very Good,324,No,4
Anant Restaurant,Agra,34,Kamla Nagar,South Indian,350,Rs.,2000,Very Good,274,No,4.1
Om Sai Ram Bhojhnalaya,Agra,34,Sikandra,North Indian,250,Rs.,1000,Very Good,162,No,4.1
Sheroes Hangout,Agra,34,Tajganj,"Cafe, North Indian, Chinese",200,Rs.,1000,Excellent,262,No,4.8
Fruck,Agra,34,Khandari,Street Food,400,Rs.,2000,Very Good,160,No,4.1
Bercos,Agra,34,Civil Lines,"Chinese, Thai",800,Rs.,3000,Very Good,213,No,4.1
Rambabu Parantha Bhandar,Agra,34,Civil Lines,North Indian,600,Rs.,2000,Good,326,Yes,3.8
G Thal,Agra,34,Khandari,"Rajasthani, Gujarati, Mughlai",900,Rs.,3000,Good,277,No,3.7
MKOP,Agra,34,Civil Lines,"Bakery, Fast Food",200,Rs.,1000,Very Good,253,No,4.3
Agarwal Restaurant Sweets And Dairy,Agra,34,Shahganj,"North Indian, Beverages, South Indian, Fast Food, Pizza",300,Rs.,1000,Good,172,No,3.7
Indian Chicken Express,Agra,34,Shahganj,"Mughlai, North Indian",700,Rs.,2000,Very Good,160,Yes,4.1
Udupi Brindavan,Agra,34,Khandari,"South Indian, North Indian, Chinese",600,Rs.,2000,Very Good,223,No,4.2
Family Zaika Restro & Lounge,Agra,34,Kamla Nagar,"North Indian, South Indian, Chinese, Beverages, Desserts",600,Rs.,2000,Good,151,No,3.9
Ram Babu Parathe Wale,Agra,34,Sikandra,Fast Food,700,Rs.,2000,Average,271,No,3.2
Grey House Cafe,Agra,34,Tajganj,Cafe,1500,Rs.,4000,Very Good,208,Yes,4.1
Deviram Sweets and Restaurant,Agra,34,Rakabganj,"North Indian, Fast Food, Desserts, Mithai",650,Rs.,2000,Very Good,198,No,4.3
Sattolala Food Court,Agra,34,Shahganj,"North Indian, Desserts",200,Rs.,1000,Good,215,No,3.5
Shan E Hind,Agra,34,Agra Cantt,North Indian,450,Rs.,2000,Good,170,Yes,3.8
Capri Restaurant,Agra,34,Civil Lines,"North Indian, Mughlai",850,Rs.,3000,Good,232,No,3.5
Dasaprakash Restaurant,Agra,34,Rakabganj,"South Indian, Desserts",550,Rs.,2000,Very Good,225,No,4.1
Shree Bankey Bihari Misthan Bhandar,Agra,34,Sikandra,"Mithai, Street Food, South Indian, Chinese",300,Rs.,1000,Very Good,159,No,4.3
The Forest,Agra,34,Sikandra,Indian,800,Rs.,3000,Good,265,No,3.7
Chickenwala.com,Agra,34,Sikandra,North Indian,300,Rs.,1000,Good,135,No,3.9
Dosa Plaza,Agra,34,Khandari,"South Indian, North Indian, Chinese",300,Rs.,1000,Good,203,No,3.8
Social Attitude,Agra,34,Shahganj,"Cafe, North Indian, Chinese, Italian, Continental, Finger Food, Fast Food, Beverages",600,Rs.,2000,Good,217,No,3.8
Bullet Adda,Agra,34,Sikandra,"Cafe, Continental, Italian",500,Rs.,2000,Very Good,230,Yes,4
Tirupati's Dosa Factory,Agra,34,Civil Lines,South Indian,200,Rs.,1000,Very Good,93,No,4
Temptation,Agra,34,Kamla Nagar,"North Indian, Chinese, Fast Food",1000,Rs.,3000,Good,258,Yes,3.8
Agra Chat House,Agra,34,Agra Cantt,Street Food,150,Rs.,1000,Very Good,177,No,4.2
Bhawna Sweets,Agra,34,Civil Lines,"Mithai, Desserts",300,Rs.,1000,Very Good,152,No,4
Gurgaonwala,Agra,34,Shahganj,Fast Food,300,Rs.,1000,Very Good,254,Yes,4.1
Atlantic Foods,Agra,34,Civil Lines,"Bakery, Desserts, Sandwich, Burger, Pizza, Fast Food",400,Rs.,2000,Very Good,166,No,4.1
Chaat Chowpaati,Agra,34,Kamla Nagar,Street Food,150,Rs.,1000,Good,184,No,3.9
Taj Bano - ITC Mughal,Agra,34,"ITC Mughal, Tajganj","Mughlai, North Indian",2500,Rs.,4000,Very Good,96,Yes,4.3
Culinary Junction By Udupi,Agra,34,Tajganj,"North Indian, South Indian, European, Chinese, Italian",800,Rs.,3000,Very Good,36,No,4.3
Chopstix,Agra,34,Civil Lines,Chinese,600,Rs.,2000,Good,194,No,3.9
Bhagwati Dhaba,Agra,34,Sikandra,North Indian,200,Rs.,1000,Very Good,194,No,4
Chainess,Agra,34,Civil Lines,"Tea, Fast Food",200,Rs.,1000,Very Good,127,No,4.3
Jux Pux,Agra,34,Khandari,"Fast Food, Italian, Beverages, Burger, Sandwich, Pizza",200,Rs.,1000,Good,123,No,3.8
Bellevue - The Oberoi Amarvilas,Agra,34,"The Oberoi Amarvilas, Tajganj","North Indian, Chinese, Continental",6500,Rs.,4000,Very Good,153,Yes,4.4
Peshawri - ITC Mughal,Agra,34,"ITC Mughal, Tajganj","North Indian, Mughlai",6000,Rs.,4000,Very Good,353,Yes,4.4
Esphahan - The Oberoi Amarvilas,Agra,34,"The Oberoi Amarvilas, Tajganj",North Indian,6000,Rs.,4000,Very Good,36,Yes,4.1
Skydeck - The Gateway Hotel,Agra,34,"The Gateway Hotel, Tajganj","North Indian, Chinese, Continental",5500,Rs.,4000,NaN,3,Yes,NaN
Tapas - Jaypee Palace Hotel,Agra,34,"Jaypee Palace Hotel, Tajganj",Finger Food,4300,Rs.,4000,Average,13,Yes,3.4
Dawat-e-Nawab - Radisson Blu,Agra,34,"Radisson Blu, Tajganj","North Indian, Mughlai",3600,Rs.,4000,Very Good,114,Yes,4.2
Infini – The Sky Lounge - Radisson Blu,Agra,34,"Radisson Blu, Tajganj",North Indian,3500,Rs.,4000,Good,46,Yes,3.7
Pavilion Café - Jaypee Palace Hotel,Agra,34,"Jaypee Palace Hotel, Tajganj","North Indian, Continental",3200,Rs.,4000,Good,26,Yes,3.9
Paatra - Jaypee Palace Hotel,Agra,34,"Jaypee Palace Hotel, Tajganj","North Indian, Mughlai",3000,Rs.,4000,Very Good,140,Yes,4.2
Oasis - Four Points By Sheraton,Agra,34,"Four Points by Sheraton Agra, Tajganj","North Indian, Chinese, Continental",3000,Rs.,4000,Very Good,46,Yes,4.3
Palato - All Day Dining - Radisson Blu,Agra,34,"Radisson Blu, Tajganj","Asian, European, North Indian, Mediterranean",3000,Rs.,4000,Very Good,37,Yes,4.1
North 27,Agra,34,"DoubleTree by Hilton Hotel Agra, Tajganj","North Indian, Chinese, Continental",3000,Rs.,4000,Good,20,Yes,3.9
The Bar - The Oberoi Amarvilas,Agra,34,"The Oberoi Amarvilas, Tajganj",Finger Food,3000,Rs.,4000,Good,19,Yes,3.8
Kebab-e-que,Agra,34,"DoubleTree by Hilton Hotel Agra, Tajganj","North Indian, Mughlai",3000,Rs.,4000,Good,22,Yes,3.9
The Roof Top - Four Points By Sheraton,Agra,34,"Four Points by Sheraton Agra, Tajganj","Continental, Mughlai",3000,Rs.,4000,NaN,0,Yes,NaN
The Sunset Lounge - Hotel Clarks Shiraz,Agra,34,"Hotel Clarks Shiraz, Agra Cantt",Finger Food,2800,Rs.,4000,Average,6,Yes,3.3
Taj Bano - ITC Mughal,Agra,34,"ITC Mughal, Tajganj","Mughlai, North Indian",2500,Rs.,4000,Very Good,96,Yes,4.3
The Mughal Room - Hotel Clarks Shiraz,Agra,34,"Hotel Clarks Shiraz, Agra Cantt","North Indian, Mughlai",2500,Rs.,4000,Very Good,154,Yes,4.2
Mughal Pavilion - ITC Mughal,Agra,34,"ITC Mughal, Tajganj","North Indian, Chinese, Continental",2500,Rs.,4000,Good,104,Yes,3.9
Turko Mughal - Ramada Plaza,Agra,34,"Ramada Plaza, Tajganj","North Indian, Mughlai",2500,Rs.,4000,Excellent,40,Yes,4.6
C'est Chine - Jaypee Palace Hotel,Agra,34,"Jaypee Palace Hotel, Tajganj",Chinese,2500,Rs.,4000,Very Good,90,Yes,4.1
Liquid Lounge Bar - Radisson Blu,Agra,34,"Radisson Blu, Tajganj",Finger Food,2500,Rs.,4000,Good,19,Yes,3.9
MoMo Cafe,Agra,34,"Courtyard by Marriott Agra, Tajganj","Italian, North Indian, Fast Food, Continental, Beverages, Asian",2000,Rs.,4000,Excellent,182,Yes,4.5
GAD - The Gateway Hotel,Agra,34,"The Gateway Hotel, Tajganj","North Indian, Chinese, Continental, Italian, Mughlai, Fast Food",2000,Rs.,4000,Good,36,Yes,3.8
The Restaurant - Trident Hotel,Agra,34,"Trident Hotel, Tajganj","North Indian, Chinese, Continental",2000,Rs.,4000,Very Good,57,Yes,4
The Grand Buffet - Jaypee Palace Hotel,Agra,34,"Jaypee Palace Hotel, Tajganj","North Indian, Continental",2000,Rs.,4000,Very Good,55,Yes,4
Anise,Agra,34,Tajganj,North Indian,2000,Rs.,4000,Good,23,Yes,3.8
Rendezvous - Hotel Howard Plaza,Agra,34,"Hotel Howard Plaza, Tajganj","North Indian, Chinese, Continental",2000,Rs.,4000,Good,13,Yes,3.5
Jhankar - The Gateway Hotel,Agra,34,"The Gateway Hotel, Tajganj","North Indian, Mughlai",2000,Rs.,4000,Good,21,Yes,3.8
Maikhana - ITC Mughal,Agra,34,"ITC Mughal, Tajganj",Finger Food,2000,Rs.,4000,Good,13,Yes,3.6
Saqui - The Gateway Hotel,Agra,34,"The Gateway Hotel, Tajganj",Finger Food,2000,Rs.,4000,Average,6,Yes,3.3
Bagh E Bahar Lounge - ITC Mughal,Agra,34,"ITC Mughal, Tajganj",Finger Food,2000,Rs.,4000,Average,8,Yes,3.3
The Tequila - Mansingh Palace,Agra,34,"Mansingh Palace, Tajganj",Finger Food,2000,Rs.,4000,NaN,2,Yes,NaN
The Bar - Trident Hotel,Agra,34,"Trident Hotel, Tajganj",Finger Food,2000,Rs.,4000,NaN,3,Yes,NaN
Shahenshah,Agra,34,Rakabganj,"Asian, South Indian, Continental, Chinese, North Indian",2000,Rs.,4000,NaN,1,Yes,NaN
Maikhana,Agra,34,Rakabganj,Beverages,2000,Rs.,4000,NaN,1,Yes,NaN
Sheesh Mahal - Mansingh Palace,Agra,34,"Mansingh Palace, Tajganj","North Indian, Chinese, Continental",1800,Rs.,4000,Good,21,Yes,3.6
Alfresco - Trident Hotel,Agra,34,"Trident Hotel, Tajganj",Italian,1800,Rs.,4000,Average,7,Yes,3.4
Mughal Bar - Hotel Clarks Shiraz,Agra,34,"Hotel Clarks Shiraz, Agra Cantt",Finger Food,1800,Rs.,4000,NaN,2,Yes,NaN
Majeliss,Agra,34,"Hotel Royale Residency, Tajganj",Finger Food,1800,Rs.,4000,NaN,1,Yes,NaN
Pinch Of Spice,Agra,34,Civil Lines,"North Indian, Chinese, Mughlai",1600,Rs.,4000,Excellent,915,No,4.6
Pinch Of Spice,Agra,34,Tajganj,"North Indian, Chinese, Continental",1600,Rs.,4000,Excellent,965,No,4.6
Urban Deck,Agra,34,Civil Lines,"Mexican, Italian, North Indian",1600,Rs.,4000,Very Good,672,No,4.3
Cafe Turquoise Cottage,Agra,34,Tajganj,"North Indian, Chinese, Continental, Italian, Pizza",1600,Rs.,4000,Excellent,344,Yes,4.6
D'Delicia,Agra,34,Tajganj,"North Indian, Chinese, Mexican, Italian",1600,Rs.,4000,Excellent,252,No,4.7
Barbeque Nation,Agra,34,Civil Lines,"North Indian, Chinese, Mediterranean",1600,Rs.,4000,Very Good,59,Yes,4.1
Cake D'or,Agra,34,Civil Lines,"Bakery, Desserts",1600,Rs.,4000,Very Good,67,No,4.1
Mocha,Agra,34,Tajganj,"Cafe, Italian, Chinese, Continental, North Indian",1500,Rs.,4000,Very Good,463,Yes,4.4
Grey House Cafe,Agra,34,Tajganj,Cafe,1500,Rs.,4000,Very Good,208,Yes,4.1
Bon Barbecue,Agra,34,Tajganj,"North Indian, Chinese, Continental",1500,Rs.,4000,Very Good,185,Yes,4.2
The Ccharcoal Chimney,Agra,34,Tajganj,"North Indian, Chinese, Continental, Mughlai",1500,Rs.,4000,Good,126,No,3.9
Glassy,Agra,34,Tajganj,"Cafe, Chinese, Continental, Indian",1500,Rs.,4000,Good,45,Yes,3.7
Ripples - Mansingh Palace,Agra,34,"Mansingh Palace, Tajganj","North Indian, Continental",1500,Rs.,4000,NaN,2,Yes,NaN
Bridge - Bhawna Clarks Inn,Agra,34,Sikandra,"North Indian, Chinese, Continental",1500,Rs.,4000,Average,23,Yes,2.8
Noosh,Agra,34,Rakabganj,"Chinese, Continental, Fast Food, Finger Food, North Indian",1500,Rs.,4000,Good,21,No,3.6
Seven Hills Rooftop Restaurant,Agra,34,Tajganj,"North Indian, Chinese, Continental",1500,Rs.,4000,Average,18,Yes,3.4
Metro Bar,Agra,34,"Hotel Metro, Civil Lines",Finger Food,1500,Rs.,4000,Average,11,Yes,3.4
The Chamber,Agra,34,Tajganj,"North Indian, Mughlai, Continental, Chinese",1500,Rs.,4000,Average,6,Yes,3.2
The Pindi Agra,Agra,34,Tajganj,"North Indian, Chinese",1500,Rs.,4000,NaN,3,Yes,NaN
Utkarsh Vilas Restaurant,Agra,34,Tajganj,"North Indian, Chinese, Continental",1500,Rs.,4000,NaN,3,Yes,NaN
Rooftop Bar-Be-Que,Agra,34,"Hotel Metro, Civil Lines","North Indian, Mughlai, Chinese, Continental",1500,Rs.,4000,Average,5,Yes,3.1
3D Liquid Lounge,Agra,34,Agra Cantt,Bar Food,1500,Rs.,4000,NaN,1,No,NaN
Emperor Restaurant,Agra,34,Tajganj,"North Indian, Continental, Chinese",1500,Rs.,4000,NaN,1,Yes,NaN
Saqi Bar,Agra,34,"Hotel Ganga Ratan, Tajganj",Finger Food,1500,Rs.,4000,NaN,0,Yes,NaN
Tmahroosh Bar - Ramada Plaza,Agra,34,"Ramada Plaza, Tajganj","North Indian, Mughlai, Finger Food",1500,Rs.,4000,NaN,0,Yes,NaN
Folks Pub,Agra,34,Civil Lines,"North Indian, Chinese",1400,Rs.,3000,Very Good,65,Yes,4
Sauma,Agra,34,Tajganj,"Chinese, North Indian",1400,Rs.,3000,Good,34,No,3.8
SUMAC - Hotel Royale' Regent,Agra,34,Tajganj,"North Indian, South Indian, Chinese, Continental",1400,Rs.,3000,Average,9,Yes,3.3
The Tea Lounge - Jaypee Palace Hotel,Agra,34,"Jaypee Palace Hotel, Tajganj",Cafe,1300,Rs.,3000,Average,5,Yes,3.3
Merry Go Round,Agra,34,"Hotel Pushp Villa, Tajganj","North Indian, Chinese, Continental",1250,Rs.,3000,Average,25,No,3.2
Star Chilli,Agra,34,Tajganj,North Indian,1250,Rs.,3000,NaN,3,Yes,NaN
Hichkee,Agra,34,Civil Lines,"Continental, North Indian, Chinese",1200,Rs.,3000,Very Good,683,No,4.4
Karims,Agra,34,Tajganj,"Mughlai, Kebab",1200,Rs.,3000,Very Good,71,Yes,4
Indian By Nature,Agra,34,Civil Lines,North Indian,1200,Rs.,3000,Average,54,No,2.6
Kesar Restaurant,Agra,34,Tajganj,"North Indian, Chinese, Continental",1200,Rs.,3000,Average,25,No,3.4
Frontier Multi Cuisine Roof Top Restaurant,Agra,34,Mantola,"Continental, North Indian, Italian",1200,Rs.,3000,NaN,2,Yes,NaN
Roof Top,Agra,34,Tajganj,"Asian, North Indian, Chinese, South Indian, Italian",1200,Rs.,3000,NaN,2,Yes,NaN
Club Replay,Agra,34,Tajganj,"North Indian, Continental, Chinese",1200,Rs.,3000,NaN,3,Yes,NaN
Golden Curry,Agra,34,Kuberpur,"North Indian, Chinese, South Indian",1200,Rs.,3000,NaN,1,Yes,NaN
Rooftop Light House Restaurant,Agra,34,Tajganj,"North Indian, Italian, Chinese",1200,Rs.,3000,NaN,0,Yes,NaN
Hotel City Square,Agra,34,Tajganj,"Asian, North Indian, Chinese",1200,Rs.,3000,NaN,0,Yes,NaN
Mughal Spice,Agra,34,Tajganj,"North Indian, Chinese, Continental",1150,Rs.,3000,Good,57,No,3.9
Club Rush,Agra,34,Tajganj,"North Indian, Chinese, Continental",1100,Rs.,3000,Good,74,No,3.8
Salt - Pepper Restaurant,Agra,34,"Hotel Royale Residency, Tajganj","North Indian, Chinese, Continental",1100,Rs.,3000,Average,13,No,3.4
Kuch Bhi - Siri 18,Agra,34,Tajganj,"North Indian, Chinese, Continental",1100,Rs.,3000,NaN,2,No,NaN
Zahraa Restaurant,Agra,34,Tajganj,"North Indian, Continental, Chinese",1050,Rs.,3000,NaN,3,Yes,NaN
The Salt Cafe Kitchen & Bar,Agra,34,Tajganj,"North Indian, Continental, Italian",1000,Rs.,3000,Excellent,470,No,4.9
Sugar N Thyme,Agra,34,Tajganj,"Cafe, Chinese, Continental, Italian, Bakery, Desserts",1000,Rs.,3000,Very Good,289,No,4.4
Tea'se Me - Rooftop Tea Boutique,Agra,34,Tajganj,"Chinese, Italian, Continental, North Indian",1000,Rs.,3000,Excellent,711,Yes,4.7
Pind Balluchi,Agra,34,Tajganj,"North Indian, Mughlai",1000,Rs.,3000,Very Good,508,No,4.2
Chapter 1 Cafe,Agra,34,Tajganj,"Cafe, Italian, Mexican, North Indian, Continental",1000,Rs.,3000,Very Good,280,No,4.2
Fakira,Agra,34,Sikandra,"North Indian, Chinese, Continental, Fast Food",1000,Rs.,3000,Good,117,No,3.9
Temptation,Agra,34,Kamla Nagar,"North Indian, Chinese, Fast Food",1000,Rs.,3000,Good,258,Yes,3.8
Big Daddy,Agra,34,Tajganj,"North Indian, Chinese, Continental",1000,Rs.,3000,Very Good,174,Yes,4
Roofmates,Agra,34,Sikandra,"North Indian, Chinese",1000,Rs.,3000,Very Good,125,No,4.2
Ashoka Bar,Agra,34,Civil Lines,North Indian,1000,Rs.,3000,Good,87,No,3.9
The Park Restaurant,Agra,34,Agra Cantt,"North Indian, Chinese, Continental, Mughlai",1000,Rs.,3000,Good,85,No,3.7
Pankhuri Restaurant,Agra,34,Rakabganj,"North Indian, Chinese, Continental, South Indian",1000,Rs.,3000,Good,74,No,3.9
Lattice - Crystal Sarovar Premiere,Agra,34,"Crystal Sarovar Premier, Tajganj","North Indian, Continental, Chinese, Cafe",1000,Rs.,3000,Very Good,62,Yes,4.1
Pind Balluchi,Agra,34,Sikandra,"Mughlai, North Indian",1000,Rs.,3000,Good,65,No,3.6
Wah! Samosa,Agra,34,Mantola,Street Food,50,Rs.,1000,Average,11,Yes,3.3
Kaila Ji Coffee House,Agra,34,Agra Cantt,Tea,50,Rs.,1000,NaN,2,Yes,NaN
Balaji Sweets House,Agra,34,Arjun Nagar,"Mithai, Street Food",50,Rs.,1000,NaN,1,Yes,NaN
Guru Ji Paan Bhandar,Agra,34,Dayal Bagh,"Desserts, Paan",50,Rs.,1000,NaN,0,Yes,NaN
Love You Zindagi,Agra,34,Rakabganj,North Indian,50,Rs.,1000,NaN,0,Yes,NaN
Mast Banarsi Paan,Agra,34,Kamla Nagar,Paan,60,Rs.,1000,Average,5,Yes,3.3
Kushwah Lassi Corner,Agra,34,Shahganj,Beverages,100,Rs.,1000,Very Good,119,No,4.3
Ravi Patties Corner,Agra,34,Dayal Bagh,"Fast Food, Desserts",100,Rs.,1000,Very Good,120,No,4.1
Sadar Wala,Agra,34,Shahganj,"Fast Food, Rolls",100,Rs.,1000,Good,156,Yes,3.8
Desire Bakers,Agra,34,Kamla Nagar,Bakery,100,Rs.,1000,Good,76,No,3.8
Healthmafia,Agra,34,Civil Lines,Healthy Food,100,Rs.,1000,Good,67,No,3.9
Ravi Patties & Mocktail Point,Agra,34,Shahganj,Street Food,100,Rs.,1000,Good,74,No,3.9
Iccha Veg Biryani,Agra,34,Sikandra,Biryani,100,Rs.,1000,Good,63,Yes,3.8
Preetam,Agra,34,Dayal Bagh,Bakery,100,Rs.,1000,Good,69,Yes,3.7
Om Sai Lassi And Juice Corner,Agra,34,Shahganj,Juices,100,Rs.,1000,Good,46,No,3.9
Shagun Cafe,Agra,34,Khandari,"Bakery, Cafe",100,Rs.,1000,Good,35,No,3.7
Sri Dauji Restaurant,Agra,34,Kamla Nagar,Desserts,100,Rs.,1000,Average,47,No,3
Jackson Egg Corner,Agra,34,Civil Lines,Fast Food,100,Rs.,1000,Good,48,Yes,3.8
